cell_id,lat,lon
49.5000_-121.0000,49.5,-121.0
49.5000_-121.5000,49.5,-121.5
49.5000_-122.0000,49.5,-122.0
49.5000_-122.5000,49.5,-122.5
49.5000_-123.0000,49.5,-123.0
49.5000_-123.5000,49.5,-123.5
49.5000_-124.0000,49.5,-124.0
49.5000_-124.5000,49.5,-124.5
49.5000_-125.0000,49.5,-125.0
49.5000_-125.5000,49.5,-125.5
49.5000_-126.0000,49.5,-126.0
49.5000_-126.5000,49.5,-126.5
49.5000_-54.0000,49.5,-54.0
49.5000_-54.5000,49.5,-54.5
49.5000_-55.0000,49.5,-55.0
49.5000_-55.5000,49.5,-55.5
49.5000_-56.0000,49.5,-56.0
49.5000_-56.5000,49.5,-56.5
49.5000_-57.0000,49.5,-57.0
49.5000_-57.5000,49.5,-57.5
49.5000_-58.0000,49.5,-58.0
49.5000_-62.5000,49.5,-62.5
49.5000_-63.0000,49.5,-63.0
49.5000_-63.5000,49.5,-63.5
49.5000_-67.5000,49.5,-67.5
49.5000_-68.0000,49.5,-68.0
49.5000_-68.5000,49.5,-68.5
49.5000_-69.0000,49.5,-69.0
49.5000_-69.5000,49.5,-69.5
49.5000_-70.0000,49.5,-70.0
49.5000_-70.5000,49.5,-70.5
49.5000_-71.0000,49.5,-71.0
49.5000_-71.5000,49.5,-71.5
49.5000_-72.0000,49.5,-72.0
49.5000_-72.5000,49.5,-72.5
49.5000_-73.0000,49.5,-73.0
49.5000_-73.5000,49.5,-73.5
49.5000_-74.0000,49.5,-74.0
49.5000_-74.5000,49.5,-74.5
49.5000_-75.0000,49.5,-75.0
49.5000_-75.5000,49.5,-75.5
49.5000_-76.0000,49.5,-76.0
49.5000_-76.5000,49.5,-76.5
49.5000_-77.0000,49.5,-77.0
49.5000_-77.5000,49.5,-77.5
49.5000_-78.0000,49.5,-78.0
49.5000_-78.5000,49.5,-78.5
49.5000_-79.0000,49.5,-79.0
49.5000_-79.5000,49.5,-79.5
49.5000_-80.0000,49.5,-80.0
49.5000_-80.5000,49.5,-80.5
49.5000_-81.0000,49.5,-81.0
49.5000_-81.5000,49.5,-81.5
49.5000_-82.0000,49.5,-82.0
49.5000_-82.5000,49.5,-82.5
