lat,lon,in_canada,historical_fire,hist_fire_any_prior,hist_fire_count_prior_20y_log1p,years_since_last_fire
42.0,-78.5,False,0,0,0.0,0.0
42.0,-78.0,False,0,0,0.0,0.0
42.0,-77.5,False,0,0,0.0,0.0
42.0,-77.0,False,0,0,0.0,0.0
42.0,-76.5,False,0,0,0.0,0.0
42.0,-76.0,False,0,0,0.0,0.0
42.0,-75.5,False,0,0,0.0,0.0
42.0,-75.0,False,0,0,0.0,0.0
42.0,-74.5,False,0,0,0.0,0.0
42.0,-74.0,False,0,0,0.0,0.0
42.0,-73.5,False,0,0,0.0,0.0
42.0,-73.0,False,0,0,0.0,0.0
42.0,-72.5,False,0,0,0.0,0.0
42.0,-72.0,False,0,0,0.0,0.0
42.0,-71.5,False,0,0,0.0,0.0
42.0,-71.0,False,0,0,0.0,0.0
42.0,-70.5,False,0,0,0.0,0.0
42.0,-70.0,False,0,0,0.0,0.0
42.0,-69.5,False,0,0,0.0,0.0
42.0,-69.0,False,0,0,0.0,0.0
42.0,-68.5,False,0,0,0.0,0.0
42.0,-68.0,False,0,0,0.0,0.0
42.0,-67.5,False,0,0,0.0,0.0
42.0,-67.0,False,0,0,0.0,0.0
42.0,-66.5,False,0,0,0.0,0.0
42.0,-66.0,False,0,0,0.0,0.0
42.0,-65.5,False,0,0,0.0,0.0
42.0,-65.0,False,0,0,0.0,0.0
42.0,-64.5,False,0,0,0.0,0.0
42.0,-64.0,False,0,0,0.0,0.0
42.0,-63.5,False,0,0,0.0,0.0
42.0,-63.0,False,0,0,0.0,0.0
42.0,-62.5,False,0,0,0.0,0.0
42.0,-62.0,False,0,0,0.0,0.0
42.0,-61.5,False,0,0,0.0,0.0
42.0,-61.0,False,0,0,0.0,0.0
42.0,-60.5,False,0,0,0.0,0.0
42.0,-60.0,False,0,0,0.0,0.0
42.0,-59.5,False,0,0,0.0,0.0
42.0,-59.0,False,0,0,0.0,0.0
42.0,-58.5,False,0,0,0.0,0.0
42.0,-58.0,False,0,0,0.0,0.0
42.0,-57.5,False,0,0,0.0,0.0
42.0,-57.0,False,0,0,0.0,0.0
42.0,-56.5,False,0,0,0.0,0.0
42.0,-56.0,False,0,0,0.0,0.0
42.0,-55.5,False,0,0,0.0,0.0
42.0,-55.0,False,0,0,0.0,0.0
42.0,-54.5,False,0,0,0.0,0.0
42.0,-54.0,False,0,0,0.0,0.0
42.0,-53.5,False,0,0,0.0,0.0
